1,Tesla,Model 3,Long Range AWD,2026,85.33,82,sedan,NMC,250,tapered_ramp,"[[0, 100], [1, 103], [2, 108], [3, 108], [4, 108], [5, 108], [6, 230], [7, 235], [8, 240], [9, 245], [10, 227], [11, 228], [12, 230], [13, 230], [14, 229], [15, 225], [16, 222], [17, 218], [18, 214], [19, 209], [20, 201], [21, 198], [22, 193], [23, 191], [24, 184], [25, 181], [26, 168], [27, 172], [28, 174], [29, 177], [30, 173], [31, 170], [32, 167], [33, 160], [34, 156], [35, 148], [36, 141], [37, 137], [38, 133], [39, 131], [40, 125], [41, 122], [42, 117], [43, 115], [44, 113], [45, 110], [46, 108], [47, 107], [48, 105], [49, 103], [50, 101], [51, 99], [52, 98], [53, 96], [54, 94], [55, 92], [56, 90], [57, 87], [58, 85], [59, 83], [60, 81], [61, 80], [62, 81], [63, 80], [64, 80], [65, 79], [66, 72], [67, 74], [68, 71], [69, 66], [70, 64], [71, 62], [72, 59], [73, 58], [74, 56], [75, 55], [76, 54], [77, 53], [78, 52], [79, 51], [80, 50], [81, 49], [82, 48], [83, 47], [84, 45], [85, 44], [86, 44], [87, 42], [88, 41], [89, 40], [90, 38], [91, 37], [92, 35], [93, 32], [94, 29], [95, 28], [96, 25], [97, 21], [98, 16], [99, 13], [100, 7]]",https://evkx.net/models/tesla/model_3/model_3_long_range/chargingcurve/,
2,Tesla,Model 3,RWD,2026,64,60.5,sedan,LFP,170,tapered_ramp,"[[0, 50], [1, 62], [2, 74], [3, 86], [4, 98], [5, 110], [6, 121], [7, 133], [8, 145], [9, 157], [10, 169], [11, 168], [12, 160], [13, 151], [14, 146], [15, 141], [16, 138], [17, 135], [18, 133], [19, 130], [20, 129], [21, 128], [22, 127], [23, 126], [24, 125], [25, 124], [26, 124], [27, 123], [28, 122], [29, 121], [30, 120], [31, 119], [32, 116], [33, 115], [34, 114], [35, 112], [36, 110], [37, 109], [38, 108], [39, 106], [40, 104], [41, 103], [42, 101], [43, 100], [44, 97], [45, 95], [46, 94], [47, 92], [48, 90], [49, 88], [50, 86], [51, 84], [52, 82], [53, 80], [54, 79], [55, 77], [56, 75], [57, 73], [58, 71], [59, 70], [60, 68], [61, 66], [62, 65], [63, 64], [64, 62], [65, 60], [66, 58], [67, 57], [68, 56], [69, 55], [70, 53], [71, 52], [72, 51], [73, 50], [74, 48], [75, 47], [76, 46], [77, 46], [78, 45], [79, 44], [80, 43], [81, 43], [82, 42], [83, 41], [84, 40], [85, 39], [86, 38], [87, 37], [88, 37], [89, 35], [90, 34], [91, 31], [92, 28], [93, 25], [94, 22], [95, 20], [96, 17], [97, 14], [98, 11], [99, 8], [100, 5]]",https://evkx.net/models/tesla/model_3/model_3/chargingcurve/,
3,Hyundai,Ioniq 9,Long Range AWD,2026,110,107,suv,NMC,233,stepped,"[[0, 50], [1, 78], [2, 181], [3, 190], [4, 192], [5, 192], [6, 193], [7, 193], [8, 194], [9, 195], [10, 196], [11, 196], [12, 196], [13, 197], [14, 197], [15, 197], [16, 197], [17, 198], [18, 198], [19, 199], [20, 200], [21, 201], [22, 201], [23, 203], [24, 203], [25, 203], [26, 204], [27, 204], [28, 204], [29, 204], [30, 204], [31, 204], [32, 205], [33, 205], [34, 205], [35, 205], [36, 206], [37, 206], [38, 206], [39, 207], [40, 208], [41, 208], [42, 208], [43, 208], [44, 209], [45, 210], [46, 210], [47, 210], [48, 210], [49, 211], [50, 211], [51, 212], [52, 213], [53, 213], [54, 201], [55, 198], [56, 199], [57, 200], [58, 200], [59, 200], [60, 200], [61, 189], [62, 189], [63, 189], [64, 190], [65, 179], [66, 179], [67, 179], [68, 179], [69, 180], [70, 171], [71, 172], [72, 134], [73, 134], [74, 134], [75, 134], [76, 119], [77, 105], [78, 93], [79, 84], [80, 75], [81, 65], [82, 65], [83, 59], [84, 48], [85, 43], [86, 41], [87, 41], [88, 41], [89, 40], [90, 40], [91, 40], [92, 40], [93, 37], [94, 32], [95, 30], [96, 29], [97, 21], [98, 14], [99, 14], [100, 14]]",https://evkx.net/models/hyundai/ioniq_9/ioniq_9_awd_long_range/chargingcurve/,
4,Porsche,Taycan,4S,2025,105,97,sedan,NMC,320,stepped,"[[0, 175], [1, 187], [2, 295], [3, 298], [4, 302], [5, 303], [6, 304], [7, 305], [8, 307], [9, 307], [10, 304], [11, 311], [12, 311], [13, 311], [14, 313], [15, 312], [16, 310], [17, 314], [18, 314], [19, 315], [20, 312], [21, 312], [22, 317], [23, 317], [24, 317], [25, 321], [26, 321], [27, 322], [28, 322], [29, 325], [30, 326], [31, 320], [32, 321], [33, 320], [34, 320], [35, 322], [36, 329], [37, 326], [38, 319], [39, 332], [40, 330], [41, 324], [42, 322], [43, 329], [44, 326], [45, 321], [46, 318], [47, 317], [48, 318], [49, 319], [50, 320], [51, 319], [52, 318], [53, 318], [54, 315], [55, 323], [56, 320], [57, 318], [58, 310], [59, 309], [60, 304], [61, 306], [62, 305], [63, 304], [64, 303], [65, 215], [66, 211], [67, 215], [68, 215], [69, 215], [70, 217], [71, 216], [72, 216], [73, 220], [74, 218], [75, 208], [76, 189], [77, 173], [78, 169], [79, 150], [80, 107], [81, 100], [82, 96], [83, 94], [84, 91], [85, 88], [86, 84], [87, 80], [88, 82], [89, 75], [90, 71], [91, 62], [92, 51], [93, 52], [94, 47], [95, 44], [96, 37], [97, 33], [98, 26], [99, 13], [100, 4]]",https://evkx.net/models/porsche/taycan/taycan_4s/chargingcurve/,
5,Ford,F-150 Lightning,Extended Range,2023,150,130,pickup,NMC,155,stepped,"[[0, 80], [1, 145], [2, 153], [3, 155], [4, 156], [5, 156], [6, 157], [7, 157], [8, 158], [9, 158], [10, 158], [11, 160], [12, 129], [13, 129], [14, 129], [15, 129], [16, 128], [17, 128], [18, 128], [19, 128], [20, 127], [21, 127], [22, 127], [23, 126], [24, 126], [25, 125], [26, 125], [27, 125], [28, 124], [29, 124], [30, 124], [31, 123], [32, 123], [33, 122], [34, 122], [35, 122], [36, 121], [37, 121], [38, 121], [39, 120], [40, 120], [41, 119], [42, 119], [43, 119], [44, 118], [45, 118], [46, 118], [47, 117], [48, 117], [49, 116], [50, 116], [51, 116], [52, 115], [53, 115], [54, 115], [55, 114], [56, 114], [57, 114], [58, 113], [59, 113], [60, 112], [61, 112], [62, 112], [63, 111], [64, 111], [65, 111], [66, 110], [67, 110], [68, 109], [69, 109], [70, 109], [71, 108], [72, 108], [73, 108], [74, 107], [75, 107], [76, 106], [77, 106], [78, 106], [79, 105], [80, 105], [81, 59], [82, 58], [83, 57], [84, 55], [85, 54], [86, 53], [87, 52], [88, 40], [89, 33], [90, 32], [91, 27], [92, 22], [93, 20], [94, 18], [95, 16], [96, 13], [97, 10], [98, 10], [99, 10], [100, 7]]",https://evkx.net/models/ford/f150_lightning/f150_lightning_extended_range/chargingcurve/,
6,Generic,HD Truck,,2025,540, 520,truck,NMC,400,flat_plateau,"[[0, 200], [1, 390], [2, 395], [5, 395], [10, 395], [20, 395], [28, 390], [30, 400], [50, 400], [70, 398], [85, 395], [88, 385], [92, 290], [95, 150], [98, 60], [100, 20]]",,"Curve shape normalised from TNO R11236 Living Lab Heavy Duty Laadpleinen (2025), Fig 4.11, 400kW charger subgraph. Sessions from multiple current-gen HD trucks. Not attributed to any specific manufacturer."
7,Iveco,eJolly,,2024,75,71,van,NMC,100,stepped,"[[0, 85], [3, 97], [5, 100], [30, 100], [32, 76], [35, 76], [50, 76], [52, 68], [78, 71], [80, 35], [88, 33], [100, 33]]",https://www.fastnedcharging.com/en-gb/brands-overview/iveco?model=eJolly,"Charge curve from Fastned brands overview, measured at 150+ kW charger."
